"Bilancio demografico anno 2020 (dati provvisori)"
"Italia"
"Mese","Popolazione inizio periodo","Nati vivi","Morti","Saldo naturale","Iscritti","Cancellati","Saldo migratorio e per altri motivi","Unità in più/meno dovute a variazioni territoriali","Popolazione fine periodo","Informazioni"
,Totale
"Gennaio",59641488,35918,62019,-26101,165840,170308,-4468,0,59610919,
"Febbraio",59610919,31994,56070,-24076,146329,149248,-2919,0,59583924,
"Marzo",59583924,31757,86501,-54744,89388,98577,-9189,0,59519991,
"Aprile",59519991,30157,72809,-42652,58440,64904,-6464,0,59470875,
"Maggio",59470875,32060,52440,-20380,96907,108753,-11846,0,59438649,
"Giugno",59438649,33132,48589,-15457,134733,142557,-7824,0,59415368,
"Luglio",59415368,36295,51422,-15127,150976,158809,-7833,0,59392408,
"Agosto",59392408,36014,53744,-17730,130347,128988,1359,0,59376037,
"Settembre",59376037,37596,49326,-11730,158022,153647,4375,0,59368682,
"Ottobre",59368682,36669,59861,-23192,169981,169441,540,0,59346030,
"Novembre",59346030,31932,78470,-46538,155874,154860,1014,0,59300506,
"Dicembre",59300506,30580,74895,-44315,129455,128080,1375,0,59257566,
,Maschi
"Gennaio",29050096,18396,29826,-11430,84916,88512,-3596,0,29035070,
"Febbraio",29035070,16542,26812,-10270,75313,78330,-3017,0,29021783,
"Marzo",29021783,16259,44049,-27790,46693,52374,-5681,0,28988312,
"Aprile",28988312,15604,34532,-18928,30177,34239,-4062,0,28965322,
"Maggio",28965322,16573,25031,-8458,49316,56885,-7569,0,28949295,
"Giugno",28949295,17110,23252,-6142,68786,74026,-5240,0,28937913,
"Luglio",28937913,18627,24603,-5976,76987,81635,-4648,0,28927289,
"Agosto",28927289,18702,25563,-6861,66892,66322,570,0,28920998,
"Settembre",28920998,19329,23788,-4459,80526,78231,2295,0,28918834,
"Ottobre",28918834,18984,29518,-10534,87151,86869,282,0,28908582,
"Novembre",28908582,16355,39860,-23505,80397,80523,-126,0,28884951,
"Dicembre",28884951,15687,36506,-20819,67708,67752,-44,0,28864088,
,Femmine
"Gennaio",30591392,17522,32193,-14671,80924,81796,-872,0,30575849,
"Febbraio",30575849,15452,29258,-13806,71016,70918,98,0,30562141,
"Marzo",30562141,15498,42452,-26954,42695,46203,-3508,0,30531679,
"Aprile",30531679,14553,38277,-23724,28263,30665,-2402,0,30505553,
"Maggio",30505553,15487,27409,-11922,47591,51868,-4277,0,30489354,
"Giugno",30489354,16022,25337,-9315,65947,68531,-2584,0,30477455,
"Luglio",30477455,17668,26819,-9151,73989,77174,-3185,0,30465119,
"Agosto",30465119,17312,28181,-10869,63455,62666,789,0,30455039,
"Settembre",30455039,18267,25538,-7271,77496,75416,2080,0,30449848,
"Ottobre",30449848,17685,30343,-12658,82830,82572,258,0,30437448,
"Novembre",30437448,15577,38610,-23033,75477,74337,1140,0,30415555,
"Dicembre",30415555,14893,38389,-23496,61747,60328,1419,0,30393478,



Informazioni: s = dato stimato
