Bilancio demografico anno 2020 - Agosto (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4289948,2366,4379,-2013,11790,11529,261,0,4288196,
2,Valle d'Aosta/Vallée d'Aoste,124409,63,131,-68,424,419,5,0,124346,
3,Lombardia,9979981,5998,8087,-2089,27882,27700,182,0,9978074,
4,Trentino-Alto Adige,1077723,795,777,18,3012,2601,411,0,1078152,
5,Veneto,4863715,2785,4100,-1315,13749,13506,243,0,4862643,
6,Friuli-Venezia Giulia,1202191,729,1186,-457,3181,3048,133,0,1201867,
7,Liguria,1515538,806,1793,-987,3606,3023,583,0,1515134,
8,Emilia-Romagna,4451621,2631,4138,-1507,11836,11004,832,0,4450946,
9,Toscana,3677826,1952,3793,-1841,8952,8622,330,0,3676315,
10,Umbria,867239,454,895,-441,1752,1785,-33,0,866765,
11,Marche,1505085,857,1561,-704,3205,3132,73,0,1504454,
12,Lazio,5731425,3332,4877,-1545,9673,10095,-422,0,5729458,
13,Abruzzo,1288176,751,1239,-488,2382,2379,3,0,1287691,
14,Molise,297879,152,319,-167,589,470,119,0,297831,
15,Campania,5693354,4160,4428,-268,9739,10464,-725,0,5692361,
16,Puglia,3936608,2359,3556,-1197,5025,4927,98,0,3935509,
17,Basilicata,549907,324,525,-201,653,768,-115,0,549591,
18,Calabria,1883353,1349,1763,-414,2595,2853,-258,0,1882681,
19,Sicilia,4852552,3420,4706,-1286,7701,8133,-432,0,4850834,
20,Sardegna,1603878,731,1491,-760,2601,2530,71,0,1603189,
,,Totale,59392408,36014,53744,-17730,130347,128988,1359,0,59376037,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2085367,1226,2069,-843,5950,5768,182,0,2084706,
2,Valle d'Aosta/Vallée d'Aoste,60827,25,63,-38,213,204,9,0,60798,
3,Lombardia,4888466,3100,3801,-701,14303,14268,35,0,4887800,
4,Trentino-Alto Adige,531461,423,387,36,1495,1302,193,0,531690,
5,Veneto,2382628,1501,1928,-427,6977,6836,141,0,2382342,
6,Friuli-Venezia Giulia,584799,356,592,-236,1560,1537,23,0,584586,
7,Liguria,726102,427,824,-397,1835,1513,322,0,726027,
8,Emilia-Romagna,2168149,1307,1917,-610,6046,5592,454,0,2167993,
9,Toscana,1777536,1051,1777,-726,4595,4454,141,0,1776951,
10,Umbria,418540,236,397,-161,891,897,-6,0,418373,
11,Marche,732097,444,704,-260,1610,1556,54,0,731891,
12,Lazio,2766716,1689,2318,-629,4993,5299,-306,0,2765781,
13,Abruzzo,628876,395,615,-220,1197,1154,43,0,628699,
14,Molise,146472,81,150,-69,357,276,81,0,146484,
15,Campania,2774576,2222,2146,76,5195,5600,-405,0,2774247,
16,Puglia,1915409,1190,1749,-559,2661,2555,106,0,1914956,
17,Basilicata,270495,172,257,-85,345,396,-51,0,270359,
18,Calabria,921771,710,909,-199,1338,1511,-173,0,921399,
19,Sicilia,2359396,1756,2224,-468,4046,4309,-263,0,2358665,
20,Sardegna,787606,391,736,-345,1285,1295,-10,0,787251,
,Maschi,28927289,18702,25563,-6861,66892,66322,570,0,28920998,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2204581,1140,2310,-1170,5840,5761,79,0,2203490,
2,Valle d'Aosta/Vallée d'Aoste,63582,38,68,-30,211,215,-4,0,63548,
3,Lombardia,5091515,2898,4286,-1388,13579,13432,147,0,5090274,
4,Trentino-Alto Adige,546262,372,390,-18,1517,1299,218,0,546462,
5,Veneto,2481087,1284,2172,-888,6772,6670,102,0,2480301,
6,Friuli-Venezia Giulia,617392,373,594,-221,1621,1511,110,0,617281,
7,Liguria,789436,379,969,-590,1771,1510,261,0,789107,
8,Emilia-Romagna,2283472,1324,2221,-897,5790,5412,378,0,2282953,
9,Toscana,1900290,901,2016,-1115,4357,4168,189,0,1899364,
10,Umbria,448699,218,498,-280,861,888,-27,0,448392,
11,Marche,772988,413,857,-444,1595,1576,19,0,772563,
12,Lazio,2964709,1643,2559,-916,4680,4796,-116,0,2963677,
13,Abruzzo,659300,356,624,-268,1185,1225,-40,0,658992,
14,Molise,151407,71,169,-98,232,194,38,0,151347,
15,Campania,2918778,1938,2282,-344,4544,4864,-320,0,2918114,
16,Puglia,2021199,1169,1807,-638,2364,2372,-8,0,2020553,
17,Basilicata,279412,152,268,-116,308,372,-64,0,279232,
18,Calabria,961582,639,854,-215,1257,1342,-85,0,961282,
19,Sicilia,2493156,1664,2482,-818,3655,3824,-169,0,2492169,
20,Sardegna,816272,340,755,-415,1316,1235,81,0,815938,
,Femmine,30465119,17312,28181,-10869,63455,62666,789,0,30455039,



Informazioni: s = dato stimato
