Bilancio demografico anno 2020 - Aprile (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4301891,2031,7466,-5435,5154,5575,-421,0,4296035,
2,Valle d'Aosta/Vallée d'Aoste,124652,61,205,-144,158,185,-27,0,124481,
3,Lombardia,10005039,5221,17281,-12060,10953,11465,-512,0,9992467,
4,Trentino-Alto Adige,1077967,765,1341,-576,1357,1279,78,0,1077469,
5,Veneto,4872187,2530,5197,-2667,6208,6723,-515,0,4869005,
6,Friuli-Venezia Giulia,1204323,533,1444,-911,1612,1617,-5,0,1203407,
7,Liguria,1520404,653,2877,-2224,1523,1726,-203,0,1517977,
8,Emilia-Romagna,4458692,2225,6171,-3946,4784,5103,-319,0,4454427,
9,Toscana,3684776,1695,4222,-2527,4063,4736,-673,0,3681576,
10,Umbria,868196,405,869,-464,1304,917,387,0,868119,
11,Marche,1508946,734,1931,-1197,1557,1497,60,0,1507809,
12,Lazio,5748994,2884,5018,-2134,5897,6695,-798,0,5746062,
13,Abruzzo,1290446,595,1441,-846,1541,1270,271,0,1289871,
14,Molise,299248,148,328,-180,161,462,-301,0,298767,
15,Campania,5702304,3102,4625,-1523,4443,5443,-1000,0,5699781,
16,Puglia,3943646,1949,3782,-1833,1926,2788,-862,0,3940951,
17,Basilicata,551659,256,591,-335,210,359,-149,0,551175,
18,Calabria,1887886,1071,1839,-768,1074,1498,-424,0,1886694,
19,Sicilia,4861070,2698,4629,-1931,3177,4101,-924,0,4858215,
20,Sardegna,1607665,601,1552,-951,1338,1465,-127,0,1606587,
,,Totale,59519991,30157,72809,-42652,58440,64904,-6464,0,59470875,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2090567,1061,3485,-2424,2699,2906,-207,0,2087936,
2,Valle d'Aosta/Vallée d'Aoste,60925,32,89,-57,78,95,-17,0,60851,
3,Lombardia,4900256,2670,7930,-5260,5608,6068,-460,0,4894536,
4,Trentino-Alto Adige,531504,403,591,-188,645,628,17,0,531333,
5,Veneto,2386438,1311,2490,-1179,3029,3375,-346,0,2384913,
6,Friuli-Venezia Giulia,585896,283,645,-362,796,823,-27,0,585507,
7,Liguria,728193,348,1296,-948,742,873,-131,0,727114,
8,Emilia-Romagna,2171089,1154,2923,-1769,2475,2640,-165,0,2169155,
9,Toscana,1780707,870,2052,-1182,2069,2469,-400,0,1779125,
10,Umbria,418934,213,406,-193,653,457,196,0,418937,
11,Marche,733904,386,924,-538,800,757,43,0,733409,
12,Lazio,2775765,1488,2427,-939,3098,3575,-477,0,2774349,
13,Abruzzo,630001,310,700,-390,763,648,115,0,629726,
14,Molise,147241,73,161,-88,86,310,-224,0,146929,
15,Campania,2779451,1611,2363,-752,2340,2967,-627,0,2778072,
16,Puglia,1918794,1005,1892,-887,1045,1566,-521,0,1917386,
17,Basilicata,271342,131,287,-156,125,183,-58,0,271128,
18,Calabria,924201,556,907,-351,584,806,-222,0,923628,
19,Sicilia,2363478,1361,2240,-879,1871,2359,-488,0,2362111,
20,Sardegna,789626,338,724,-386,671,734,-63,0,789177,
,Maschi,28988312,15604,34532,-18928,30177,34239,-4062,0,28965322,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2211324,970,3981,-3011,2455,2669,-214,0,2208099,
2,Valle d'Aosta/Vallée d'Aoste,63727,29,116,-87,80,90,-10,0,63630,
3,Lombardia,5104783,2551,9351,-6800,5345,5397,-52,0,5097931,
4,Trentino-Alto Adige,546463,362,750,-388,712,651,61,0,546136,
5,Veneto,2485749,1219,2707,-1488,3179,3348,-169,0,2484092,
6,Friuli-Venezia Giulia,618427,250,799,-549,816,794,22,0,617900,
7,Liguria,792211,305,1581,-1276,781,853,-72,0,790863,
8,Emilia-Romagna,2287603,1071,3248,-2177,2309,2463,-154,0,2285272,
9,Toscana,1904069,825,2170,-1345,1994,2267,-273,0,1902451,
10,Umbria,449262,192,463,-271,651,460,191,0,449182,
11,Marche,775042,348,1007,-659,757,740,17,0,774400,
12,Lazio,2973229,1396,2591,-1195,2799,3120,-321,0,2971713,
13,Abruzzo,660445,285,741,-456,778,622,156,0,660145,
14,Molise,152007,75,167,-92,75,152,-77,0,151838,
15,Campania,2922853,1491,2262,-771,2103,2476,-373,0,2921709,
16,Puglia,2024852,944,1890,-946,881,1222,-341,0,2023565,
17,Basilicata,280317,125,304,-179,85,176,-91,0,280047,
18,Calabria,963685,515,932,-417,490,692,-202,0,963066,
19,Sicilia,2497592,1337,2389,-1052,1306,1742,-436,0,2496104,
20,Sardegna,818039,263,828,-565,667,731,-64,0,817410,
,Femmine,30531679,14553,38277,-23724,28263,30665,-2402,0,30505553,



Informazioni: s = dato stimato
