Bilancio demografico anno 2020 - Dicembre (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4278485,2009,6851,-4842,10328,10761,-433,0,4273210,
2,Valle d'Aosta/Vallée d'Aoste,124037,68,165,-97,355,400,-45,0,123895,
3,Lombardia,9972859,5071,11577,-6506,28007,27368,639,0,9966992,
4,Trentino-Alto Adige,1078683,747,1426,-679,3096,2640,456,0,1078460,
5,Veneto,4857957,2490,7632,-5142,13336,13698,-362,0,4852453,
6,Friuli-Venezia Giulia,1200251,572,2208,-1636,3163,3025,138,0,1198753,
7,Liguria,1511491,675,2427,-1752,3834,3768,66,0,1509805,
8,Emilia-Romagna,4448393,2304,5993,-3689,11833,10988,845,0,4445549,
9,Toscana,3671425,1734,4682,-2948,8816,8960,-144,0,3668333,
10,Umbria,865517,384,1126,-742,1722,1484,238,0,865013,
11,Marche,1502601,668,1965,-1297,3392,3290,102,0,1501406,
12,Lazio,5722772,2920,5998,-3078,10127,9025,1102,0,5720796,
13,Abruzzo,1286181,629,1577,-948,2597,2574,23,0,1285256,
14,Molise,296910,131,410,-279,503,587,-84,0,296547,
15,Campania,5682890,3396,5900,-2504,9608,10235,-627,0,5679759,
16,Puglia,3929610,1983,4606,-2623,4901,4957,-56,0,3926931,
17,Basilicata,548053,262,693,-431,692,735,-43,0,547579,
18,Calabria,1878689,1069,2010,-941,2839,2859,-20,0,1877728,
19,Sicilia,4843986,2813,5692,-2879,7651,7882,-231,0,4840876,
20,Sardegna,1599716,655,1957,-1302,2655,2844,-189,0,1598225,
,,Totale,59300506,30580,74895,-44315,129455,128080,1375,0,59257566,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2079928,1070,3287,-2217,5464,5770,-306,0,2077405,
2,Valle d'Aosta/Vallée d'Aoste,60626,38,80,-42,167,194,-27,0,60557,
3,Lombardia,4885228,2590,5619,-3029,14477,14470,7,0,4882206,
4,Trentino-Alto Adige,532048,416,678,-262,1546,1333,213,0,531999,
5,Veneto,2380523,1289,3641,-2352,6786,7066,-280,0,2377891,
6,Friuli-Venezia Giulia,583970,272,1025,-753,1650,1587,63,0,583280,
7,Liguria,724497,322,1199,-877,2034,2007,27,0,723647,
8,Emilia-Romagna,2166825,1174,2795,-1621,6113,5705,408,0,2165612,
9,Toscana,1774720,887,2207,-1320,4508,4693,-185,0,1773215,
10,Umbria,417838,199,555,-356,889,773,116,0,417598,
11,Marche,731060,352,935,-583,1730,1671,59,0,730536,
12,Lazio,2762590,1459,2931,-1472,5449,4838,611,0,2761729,
13,Abruzzo,627976,316,789,-473,1348,1342,6,0,627509,
14,Molise,146143,59,198,-139,283,341,-58,0,145946,
15,Campania,2769248,1740,2999,-1259,5204,5586,-382,0,2767607,
16,Puglia,1912065,1004,2347,-1343,2567,2673,-106,0,1910616,
17,Basilicata,269546,140,330,-190,397,403,-6,0,269350,
18,Calabria,919497,561,1018,-457,1547,1526,21,0,919061,
19,Sicilia,2355304,1469,2835,-1366,4210,4325,-115,0,2353823,
20,Sardegna,785319,330,1038,-708,1339,1449,-110,0,784501,
,Maschi,28884951,15687,36506,-20819,67708,67752,-44,0,28864088,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2198557,939,3564,-2625,4864,4991,-127,0,2195805,
2,Valle d'Aosta/Vallée d'Aoste,63411,30,85,-55,188,206,-18,0,63338,
3,Lombardia,5087631,2481,5958,-3477,13530,12898,632,0,5084786,
4,Trentino-Alto Adige,546635,331,748,-417,1550,1307,243,0,546461,
5,Veneto,2477434,1201,3991,-2790,6550,6632,-82,0,2474562,
6,Friuli-Venezia Giulia,616281,300,1183,-883,1513,1438,75,0,615473,
7,Liguria,786994,353,1228,-875,1800,1761,39,0,786158,
8,Emilia-Romagna,2281568,1130,3198,-2068,5720,5283,437,0,2279937,
9,Toscana,1896705,847,2475,-1628,4308,4267,41,0,1895118,
10,Umbria,447679,185,571,-386,833,711,122,0,447415,
11,Marche,771541,316,1030,-714,1662,1619,43,0,770870,
12,Lazio,2960182,1461,3067,-1606,4678,4187,491,0,2959067,
13,Abruzzo,658205,313,788,-475,1249,1232,17,0,657747,
14,Molise,150767,72,212,-140,220,246,-26,0,150601,
15,Campania,2913642,1656,2901,-1245,4404,4649,-245,0,2912152,
16,Puglia,2017545,979,2259,-1280,2334,2284,50,0,2016315,
17,Basilicata,278507,122,363,-241,295,332,-37,0,278229,
18,Calabria,959192,508,992,-484,1292,1333,-41,0,958667,
19,Sicilia,2488682,1344,2857,-1513,3441,3557,-116,0,2487053,
20,Sardegna,814397,325,919,-594,1316,1395,-79,0,813724,
,Femmine,30415555,14893,38389,-23496,61747,60328,1419,0,30393478,



Informazioni: s = dato stimato
