Bilancio demografico anno 2020 - Febbraio (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4309341,2132,4566,-2434,12610,12107,503,0,4307410,
2,Valle d'Aosta/Vallée d'Aoste,124926,62,132,-70,295,338,-43,0,124813,
3,Lombardia,10027136,5496,8954,-3458,31172,28759,2413,0,10026091,
4,Trentino-Alto Adige,1078320,706,896,-190,3019,2642,377,0,1078507,
5,Veneto,4877264,2607,4350,-1743,13413,13075,338,0,4875859,
6,Friuli-Venezia Giulia,1205959,551,1299,-748,3306,3161,145,0,1205356,
7,Liguria,1523676,713,1780,-1067,3908,3813,95,0,1522704,
8,Emilia-Romagna,4464161,2332,4400,-2068,13112,11400,1712,0,4463805,
9,Toscana,3690325,1863,3708,-1845,10176,10256,-80,0,3688400,
10,Umbria,869417,386,877,-491,1800,1825,-25,0,868901,
11,Marche,1511882,724,1508,-784,3361,3669,-308,0,1510790,
12,Lazio,5752875,3057,4922,-1865,13729,13507,222,0,5751232,
13,Abruzzo,1292971,634,1377,-743,2556,2935,-379,0,1291849,
14,Molise,299940,130,308,-178,595,729,-134,0,299628,
15,Campania,5708444,3522,4943,-1421,12055,13713,-1658,0,5705365,
16,Puglia,3950069,2124,3526,-1402,5239,6960,-1721,0,3946946,
17,Basilicata,552772,293,610,-317,777,1097,-320,0,552135,
18,Calabria,1891941,1134,1755,-621,2955,4350,-1395,0,1889925,
19,Sicilia,4869228,2874,4649,-1775,9418,11735,-2317,0,4865136,
20,Sardegna,1610272,654,1510,-856,2833,3177,-344,0,1609072,
,,Totale,59610919,31994,56070,-24076,146329,149248,-2919,0,59583924,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2094258,1097,2159,-1062,6424,6271,153,0,2093349,
2,Valle d'Aosta/Vallée d'Aoste,61073,24,54,-30,163,187,-24,0,61019,
3,Lombardia,4912222,2843,4151,-1308,16099,15265,834,0,4911748,
4,Trentino-Alto Adige,531661,359,437,-78,1486,1325,161,0,531744,
5,Veneto,2388779,1368,2047,-679,6730,6664,66,0,2388166,
6,Friuli-Venezia Giulia,586671,268,605,-337,1667,1615,52,0,586386,
7,Liguria,729798,379,826,-447,2013,1999,14,0,729365,
8,Emilia-Romagna,2173889,1203,2042,-839,6735,5897,838,0,2173888,
9,Toscana,1783240,969,1732,-763,5224,5193,31,0,1782508,
10,Umbria,419540,198,420,-222,872,904,-32,0,419286,
11,Marche,735389,374,672,-298,1713,1893,-180,0,734911,
12,Lazio,2777710,1565,2375,-810,7210,7233,-23,0,2776877,
13,Abruzzo,631301,308,706,-398,1290,1495,-205,0,630698,
14,Molise,147621,70,138,-68,315,419,-104,0,147449,
15,Campania,2782767,1839,2440,-601,6260,7369,-1109,0,2781057,
16,Puglia,1922010,1143,1754,-611,2837,3722,-885,0,1920514,
17,Basilicata,271869,150,289,-139,467,606,-139,0,271591,
18,Calabria,926444,580,861,-281,1555,2382,-827,0,925336,
19,Sicilia,2367878,1467,2334,-867,4840,6293,-1453,0,2365558,
20,Sardegna,790950,338,770,-432,1413,1598,-185,0,790333,
,Maschi,29035070,16542,26812,-10270,75313,78330,-3017,0,29021783,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2215083,1035,2407,-1372,6186,5836,350,0,2214061,
2,Valle d'Aosta/Vallée d'Aoste,63853,38,78,-40,132,151,-19,0,63794,
3,Lombardia,5114914,2653,4803,-2150,15073,13494,1579,0,5114343,
4,Trentino-Alto Adige,546659,347,459,-112,1533,1317,216,0,546763,
5,Veneto,2488485,1239,2303,-1064,6683,6411,272,0,2487693,
6,Friuli-Venezia Giulia,619288,283,694,-411,1639,1546,93,0,618970,
7,Liguria,793878,334,954,-620,1895,1814,81,0,793339,
8,Emilia-Romagna,2290272,1129,2358,-1229,6377,5503,874,0,2289917,
9,Toscana,1907085,894,1976,-1082,4952,5063,-111,0,1905892,
10,Umbria,449877,188,457,-269,928,921,7,0,449615,
11,Marche,776493,350,836,-486,1648,1776,-128,0,775879,
12,Lazio,2975165,1492,2547,-1055,6519,6274,245,0,2974355,
13,Abruzzo,661670,326,671,-345,1266,1440,-174,0,661151,
14,Molise,152319,60,170,-110,280,310,-30,0,152179,
15,Campania,2925677,1683,2503,-820,5795,6344,-549,0,2924308,
16,Puglia,2028059,981,1772,-791,2402,3238,-836,0,2026432,
17,Basilicata,280903,143,321,-178,310,491,-181,0,280544,
18,Calabria,965497,554,894,-340,1400,1968,-568,0,964589,
19,Sicilia,2501350,1407,2315,-908,4578,5442,-864,0,2499578,
20,Sardegna,819322,316,740,-424,1420,1579,-159,0,818739,
,Femmine,30575849,15452,29258,-13806,71016,70918,98,0,30562141,



Informazioni: s = dato stimato
