Bilancio demografico anno 2020 - Gennaio (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4311217,2343,4786,-2443,15013,14446,567,0,4309341,
2,Valle d'Aosta/Vallée d'Aoste,125034,50,126,-76,500,532,-32,0,124926,
3,Lombardia,10027602,6083,9483,-3400,36212,33278,2934,0,10027136,
4,Trentino-Alto Adige,1078069,780,899,-119,3549,3179,370,0,1078320,
5,Veneto,4879133,2878,4824,-1946,15427,15350,77,0,4877264,
6,Friuli-Venezia Giulia,1206216,648,1516,-868,4034,3423,611,0,1205959,
7,Liguria,1524826,789,1928,-1139,4472,4483,-11,0,1523676,
8,Emilia-Romagna,4464119,2648,4720,-2072,14622,12508,2114,0,4464161,
9,Toscana,3692555,1969,4149,-2180,11539,11589,-50,0,3690325,
10,Umbria,870165,454,985,-531,1928,2145,-217,0,869417,
11,Marche,1512672,843,1658,-815,4122,4097,25,0,1511882,
12,Lazio,5755700,3418,5702,-2284,14248,14789,-541,0,5752875,
13,Abruzzo,1293941,750,1482,-732,3407,3645,-238,0,1292971,
14,Molise,300516,166,363,-197,639,1018,-379,0,299940,
15,Campania,5712143,4108,5697,-1589,13067,15177,-2110,0,5708444,
16,Puglia,3953305,2289,4017,-1728,6178,7686,-1508,0,3950069,
17,Basilicata,553254,294,572,-278,864,1068,-204,0,552772,
18,Calabria,1894110,1243,2043,-800,3204,4573,-1369,0,1891941,
19,Sicilia,4875290,3404,5386,-1982,9470,13550,-4080,0,4869228,
20,Sardegna,1611621,761,1683,-922,3345,3772,-427,0,1610272,
,,Totale,59641488,35918,62019,-26101,165840,170308,-4468,0,59610919,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2095058,1176,2266,-1090,7647,7357,290,0,2094258,
2,Valle d'Aosta/Vallée d'Aoste,61121,32,52,-20,251,279,-28,0,61073,
3,Lombardia,4912375,3138,4422,-1284,18626,17495,1131,0,4912222,
4,Trentino-Alto Adige,531506,395,436,-41,1796,1600,196,0,531661,
5,Veneto,2389717,1469,2309,-840,7534,7632,-98,0,2388779,
6,Friuli-Venezia Giulia,586719,312,702,-390,2084,1742,342,0,586671,
7,Liguria,730371,412,921,-509,2286,2350,-64,0,729798,
8,Emilia-Romagna,2173781,1381,2248,-867,7458,6483,975,0,2173889,
9,Toscana,1784318,1012,1965,-953,5854,5979,-125,0,1783240,
10,Umbria,419894,233,460,-227,956,1083,-127,0,419540,
11,Marche,735691,454,779,-325,2049,2026,23,0,735389,
12,Lazio,2779181,1730,2812,-1082,7454,7843,-389,0,2777710,
13,Abruzzo,631743,382,746,-364,1717,1795,-78,0,631301,
14,Molise,147953,83,169,-86,331,577,-246,0,147621,
15,Campania,2784616,2099,2758,-659,6843,8033,-1190,0,2782767,
16,Puglia,1923532,1165,1953,-788,3327,4061,-734,0,1922010,
17,Basilicata,272150,154,302,-148,484,617,-133,0,271869,
18,Calabria,927732,609,1084,-475,1663,2476,-813,0,926444,
19,Sicilia,2370942,1787,2580,-793,4877,7148,-2271,0,2367878,
20,Sardegna,791696,373,862,-489,1679,1936,-257,0,790950,
,Maschi,29050096,18396,29826,-11430,84916,88512,-3596,0,29035070,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2216159,1167,2520,-1353,7366,7089,277,0,2215083,
2,Valle d'Aosta/Vallée d'Aoste,63913,18,74,-56,249,253,-4,0,63853,
3,Lombardia,5115227,2945,5061,-2116,17586,15783,1803,0,5114914,
4,Trentino-Alto Adige,546563,385,463,-78,1753,1579,174,0,546659,
5,Veneto,2489416,1409,2515,-1106,7893,7718,175,0,2488485,
6,Friuli-Venezia Giulia,619497,336,814,-478,1950,1681,269,0,619288,
7,Liguria,794455,377,1007,-630,2186,2133,53,0,793878,
8,Emilia-Romagna,2290338,1267,2472,-1205,7164,6025,1139,0,2290272,
9,Toscana,1908237,957,2184,-1227,5685,5610,75,0,1907085,
10,Umbria,450271,221,525,-304,972,1062,-90,0,449877,
11,Marche,776981,389,879,-490,2073,2071,2,0,776493,
12,Lazio,2976519,1688,2890,-1202,6794,6946,-152,0,2975165,
13,Abruzzo,662198,368,736,-368,1690,1850,-160,0,661670,
14,Molise,152563,83,194,-111,308,441,-133,0,152319,
15,Campania,2927527,2009,2939,-930,6224,7144,-920,0,2925677,
16,Puglia,2029773,1124,2064,-940,2851,3625,-774,0,2028059,
17,Basilicata,281104,140,270,-130,380,451,-71,0,280903,
18,Calabria,966378,634,959,-325,1541,2097,-556,0,965497,
19,Sicilia,2504348,1617,2806,-1189,4593,6402,-1809,0,2501350,
20,Sardegna,819925,388,821,-433,1666,1836,-170,0,819322,
,Femmine,30591392,17522,32193,-14671,80924,81796,-872,0,30575849,



Informazioni: s = dato stimato
