Bilancio demografico anno 2020 - Luglio (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4291532,2448,4198,-1750,13761,13595,166,0,4289948,
2,Valle d'Aosta/Vallée d'Aoste,124399,82,108,-26,525,489,36,0,124409,
3,Lombardia,9983111,6174,7849,-1675,32303,33758,-1455,0,9979981,
4,Trentino-Alto Adige,1077602,839,747,92,2996,2967,29,0,1077723,
5,Veneto,4865441,2915,3927,-1012,14757,15471,-714,0,4863715,
6,Friuli-Venezia Giulia,1202619,651,1096,-445,3398,3381,17,0,1202191,
7,Liguria,1515824,832,1688,-856,4201,3631,570,0,1515538,
8,Emilia-Romagna,4452059,2649,4120,-1471,13657,12624,1033,0,4451621,
9,Toscana,3678949,2003,3544,-1541,10758,10340,418,0,3677826,
10,Umbria,867572,484,811,-327,1943,1949,-6,0,867239,
11,Marche,1505752,883,1546,-663,3649,3653,-4,0,1505085,
12,Lazio,5736413,3380,4788,-1408,11625,15205,-3580,0,5731425,
13,Abruzzo,1288772,729,1168,-439,2947,3104,-157,0,1288176,
14,Molise,298178,138,310,-172,568,695,-127,0,297879,
15,Campania,5695562,4122,4387,-265,11818,13761,-1943,0,5693354,
16,Puglia,3937874,2285,3362,-1077,6091,6280,-189,0,3936608,
17,Basilicata,550319,337,509,-172,802,1042,-240,0,549907,
18,Calabria,1884570,1254,1634,-380,3017,3854,-837,0,1883353,
19,Sicilia,4854209,3385,4204,-819,9172,10010,-838,0,4852552,
20,Sardegna,1604611,705,1426,-721,2988,3000,-12,0,1603878,
,,Totale,59415368,36295,51422,-15127,150976,158809,-7833,0,59392408,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2086032,1297,2017,-720,6939,6884,55,0,2085367,
2,Valle d'Aosta/Vallée d'Aoste,60812,37,43,-6,266,245,21,0,60827,
3,Lombardia,4889969,3136,3683,-547,16534,17490,-956,0,4888466,
4,Trentino-Alto Adige,531406,408,369,39,1508,1492,16,0,531461,
5,Veneto,2383326,1547,1884,-337,7333,7694,-361,0,2382628,
6,Friuli-Venezia Giulia,585005,316,527,-211,1718,1713,5,0,584799,
7,Liguria,726159,432,813,-381,2136,1812,324,0,726102,
8,Emilia-Romagna,2168170,1382,1952,-570,7029,6480,549,0,2168149,
9,Toscana,1778023,993,1622,-629,5404,5262,142,0,1777536,
10,Umbria,418731,250,386,-136,923,978,-55,0,418540,
11,Marche,732401,428,719,-291,1853,1866,-13,0,732097,
12,Lazio,2769226,1741,2308,-567,6039,7982,-1943,0,2766716,
13,Abruzzo,629147,389,577,-188,1495,1578,-83,0,628876,
14,Molise,146613,75,147,-72,305,374,-69,0,146472,
15,Campania,2775732,2118,2184,-66,6192,7282,-1090,0,2774576,
16,Puglia,1915914,1167,1597,-430,3138,3213,-75,0,1915409,
17,Basilicata,270665,178,247,-69,439,540,-101,0,270495,
18,Calabria,922447,627,817,-190,1556,2042,-486,0,921771,
19,Sicilia,2360187,1736,2011,-275,4693,5209,-516,0,2359396,
20,Sardegna,787948,370,700,-330,1487,1499,-12,0,787606,
,Maschi,28937913,18627,24603,-5976,76987,81635,-4648,0,28927289,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2205500,1151,2181,-1030,6822,6711,111,0,2204581,
2,Valle d'Aosta/Vallée d'Aoste,63587,45,65,-20,259,244,15,0,63582,
3,Lombardia,5093142,3038,4166,-1128,15769,16268,-499,0,5091515,
4,Trentino-Alto Adige,546196,431,378,53,1488,1475,13,0,546262,
5,Veneto,2482115,1368,2043,-675,7424,7777,-353,0,2481087,
6,Friuli-Venezia Giulia,617614,335,569,-234,1680,1668,12,0,617392,
7,Liguria,789665,400,875,-475,2065,1819,246,0,789436,
8,Emilia-Romagna,2283889,1267,2168,-901,6628,6144,484,0,2283472,
9,Toscana,1900926,1010,1922,-912,5354,5078,276,0,1900290,
10,Umbria,448841,234,425,-191,1020,971,49,0,448699,
11,Marche,773351,455,827,-372,1796,1787,9,0,772988,
12,Lazio,2967187,1639,2480,-841,5586,7223,-1637,0,2964709,
13,Abruzzo,659625,340,591,-251,1452,1526,-74,0,659300,
14,Molise,151565,63,163,-100,263,321,-58,0,151407,
15,Campania,2919830,2004,2203,-199,5626,6479,-853,0,2918778,
16,Puglia,2021960,1118,1765,-647,2953,3067,-114,0,2021199,
17,Basilicata,279654,159,262,-103,363,502,-139,0,279412,
18,Calabria,962123,627,817,-190,1461,1812,-351,0,961582,
19,Sicilia,2494022,1649,2193,-544,4479,4801,-322,0,2493156,
20,Sardegna,816663,335,726,-391,1501,1501,0,0,816272,
,Femmine,30477455,17668,26819,-9151,73989,77174,-3185,0,30465119,



Informazioni: s = dato stimato
