Bilancio demografico anno 2020 - Giugno (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4293302,2279,4006,-1727,12357,12400,-43,0,4291532,
2,Valle d'Aosta/Vallée d'Aoste,124405,80,111,-31,431,406,25,0,124399,
3,Lombardia,9987250,5685,7742,-2057,29473,31555,-2082,0,9983111,
4,Trentino-Alto Adige,1077460,748,727,21,2720,2599,121,0,1077602,
5,Veneto,4866950,2714,3793,-1079,13088,13518,-430,0,4865441,
6,Friuli-Venezia Giulia,1203179,602,1071,-469,2870,2961,-91,0,1202619,
7,Liguria,1516821,711,1660,-949,3461,3509,-48,0,1515824,
8,Emilia-Romagna,4452975,2443,3979,-1536,12476,11856,620,0,4452059,
9,Toscana,3680081,1984,3262,-1278,9403,9257,146,0,3678949,
10,Umbria,867873,454,781,-327,1692,1666,26,0,867572,
11,Marche,1506573,750,1416,-666,3230,3385,-155,0,1505752,
12,Lazio,5739750,3169,4323,-1154,9527,11710,-2183,0,5736413,
13,Abruzzo,1289249,704,1135,-431,2914,2960,-46,0,1288772,
14,Molise,298461,125,306,-181,561,663,-102,0,298178,
15,Campania,5697526,3590,3981,-391,10913,12486,-1573,0,5695562,
16,Puglia,3939291,2147,3223,-1076,5218,5559,-341,0,3937874,
17,Basilicata,550698,278,464,-186,701,894,-193,0,550319,
18,Calabria,1885451,1082,1564,-482,2892,3291,-399,0,1884570,
19,Sicilia,4856025,2929,3800,-871,8010,8955,-945,0,4854209,
20,Sardegna,1605329,658,1245,-587,2796,2927,-131,0,1604611,
,,Totale,59438649,33132,48589,-15457,134733,142557,-7824,0,59415368,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2086775,1186,1895,-709,6222,6256,-34,0,2086032,
2,Valle d'Aosta/Vallée d'Aoste,60804,33,47,-14,228,206,22,0,60812,
3,Lombardia,4892076,2939,3599,-660,15142,16589,-1447,0,4889969,
4,Trentino-Alto Adige,531327,400,365,35,1346,1302,44,0,531406,
5,Veneto,2383955,1377,1803,-426,6602,6805,-203,0,2383326,
6,Friuli-Venezia Giulia,585324,311,524,-213,1408,1514,-106,0,585005,
7,Liguria,726608,362,760,-398,1716,1767,-51,0,726159,
8,Emilia-Romagna,2168491,1249,1824,-575,6321,6067,254,0,2168170,
9,Toscana,1778427,1037,1512,-475,4808,4737,71,0,1778023,
10,Umbria,418822,219,379,-160,852,783,69,0,418731,
11,Marche,732834,378,675,-297,1596,1732,-136,0,732401,
12,Lazio,2770914,1651,2077,-426,4913,6175,-1262,0,2769226,
13,Abruzzo,629382,375,537,-162,1437,1510,-73,0,629147,
14,Molise,146754,72,150,-78,299,362,-63,0,146613,
15,Campania,2776961,1819,2008,-189,5646,6686,-1040,0,2775732,
16,Puglia,1916613,1123,1617,-494,2802,3007,-205,0,1915914,
17,Basilicata,270895,134,227,-93,363,500,-137,0,270665,
18,Calabria,922951,558,785,-227,1485,1762,-277,0,922447,
19,Sicilia,2361012,1532,1836,-304,4239,4760,-521,0,2360187,
20,Sardegna,788370,355,632,-277,1361,1506,-145,0,787948,
,Maschi,28949295,17110,23252,-6142,68786,74026,-5240,0,28937913,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2206527,1093,2111,-1018,6135,6144,-9,0,2205500,
2,Valle d'Aosta/Vallée d'Aoste,63601,47,64,-17,203,200,3,0,63587,
3,Lombardia,5095174,2746,4143,-1397,14331,14966,-635,0,5093142,
4,Trentino-Alto Adige,546133,348,362,-14,1374,1297,77,0,546196,
5,Veneto,2482995,1337,1990,-653,6486,6713,-227,0,2482115,
6,Friuli-Venezia Giulia,617855,291,547,-256,1462,1447,15,0,617614,
7,Liguria,790213,349,900,-551,1745,1742,3,0,789665,
8,Emilia-Romagna,2284484,1194,2155,-961,6155,5789,366,0,2283889,
9,Toscana,1901654,947,1750,-803,4595,4520,75,0,1900926,
10,Umbria,449051,235,402,-167,840,883,-43,0,448841,
11,Marche,773739,372,741,-369,1634,1653,-19,0,773351,
12,Lazio,2968836,1518,2246,-728,4614,5535,-921,0,2967187,
13,Abruzzo,659867,329,598,-269,1477,1450,27,0,659625,
14,Molise,151707,53,156,-103,262,301,-39,0,151565,
15,Campania,2920565,1771,1973,-202,5267,5800,-533,0,2919830,
16,Puglia,2022678,1024,1606,-582,2416,2552,-136,0,2021960,
17,Basilicata,279803,144,237,-93,338,394,-56,0,279654,
18,Calabria,962500,524,779,-255,1407,1529,-122,0,962123,
19,Sicilia,2495013,1397,1964,-567,3771,4195,-424,0,2494022,
20,Sardegna,816959,303,613,-310,1435,1421,14,0,816663,
,Femmine,30489354,16022,25337,-9315,65947,68531,-2584,0,30477455,



Informazioni: s = dato stimato
