Bilancio demografico anno 2020 - Marzo (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4307410,2182,7277,-5095,8508,8932,-424,0,4301891,
2,Valle d'Aosta/Vallée d'Aoste,124813,57,207,-150,273,284,-11,0,124652,
3,Lombardia,10026091,5705,25687,-19982,17610,18680,-1070,0,10005039,
4,Trentino-Alto Adige,1078507,780,1419,-639,2367,2268,99,0,1077967,
5,Veneto,4875859,2604,5442,-2838,10227,11061,-834,0,4872187,
6,Friuli-Venezia Giulia,1205356,605,1529,-924,2274,2383,-109,0,1204323,
7,Liguria,1522704,672,3054,-2382,2400,2318,82,0,1520404,
8,Emilia-Romagna,4463805,2441,7776,-5335,8608,8386,222,0,4458692,
9,Toscana,3688400,1726,4544,-2818,6651,7457,-806,0,3684776,
10,Umbria,868901,405,1044,-639,1199,1265,-66,0,868196,
11,Marche,1510790,733,2336,-1603,2169,2410,-241,0,1508946,
12,Lazio,5751232,2956,5469,-2513,7619,7344,275,0,5748994,
13,Abruzzo,1291849,614,1574,-960,1422,1865,-443,0,1290446,
14,Molise,299628,153,378,-225,309,464,-155,0,299248,
15,Campania,5705365,3253,5172,-1919,6693,7835,-1142,0,5702304,
16,Puglia,3946946,2004,4080,-2076,2909,4133,-1224,0,3943646,
17,Basilicata,552135,255,577,-322,518,672,-154,0,551659,
18,Calabria,1889925,1074,1995,-921,1483,2601,-1118,0,1887886,
19,Sicilia,4865136,2868,5207,-2339,4296,6023,-1727,0,4861070,
20,Sardegna,1609072,670,1734,-1064,1853,2196,-343,0,1607665,
,,Totale,59583924,31757,86501,-54744,89388,98577,-9189,0,59519991,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2093349,1143,3689,-2546,4455,4691,-236,0,2090567,
2,Valle d'Aosta/Vallée d'Aoste,61019,29,107,-78,135,151,-16,0,60925,
3,Lombardia,4911748,2901,13739,-10838,9298,9952,-654,0,4900256,
4,Trentino-Alto Adige,531744,388,689,-301,1151,1090,61,0,531504,
5,Veneto,2388166,1374,2615,-1241,5195,5682,-487,0,2386438,
6,Friuli-Venezia Giulia,586386,329,729,-400,1126,1216,-90,0,585896,
7,Liguria,729365,328,1506,-1178,1207,1201,6,0,728193,
8,Emilia-Romagna,2173888,1260,4059,-2799,4461,4461,0,0,2171089,
9,Toscana,1782508,919,2237,-1318,3479,3962,-483,0,1780707,
10,Umbria,419286,216,493,-277,605,680,-75,0,418934,
11,Marche,734911,354,1249,-895,1144,1256,-112,0,733904,
12,Lazio,2776877,1471,2705,-1234,4041,3919,122,0,2775765,
13,Abruzzo,630698,318,753,-435,712,974,-262,0,630001,
14,Molise,147449,83,178,-95,151,264,-113,0,147241,
15,Campania,2781057,1628,2613,-985,3615,4236,-621,0,2779451,
16,Puglia,1920514,1022,2013,-991,1588,2317,-729,0,1918794,
17,Basilicata,271591,132,267,-135,295,409,-114,0,271342,
18,Calabria,925336,547,1008,-461,804,1478,-674,0,924201,
19,Sicilia,2365558,1470,2519,-1049,2272,3303,-1031,0,2363478,
20,Sardegna,790333,347,881,-534,959,1132,-173,0,789626,
,Maschi,29021783,16259,44049,-27790,46693,52374,-5681,0,28988312,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2214061,1039,3588,-2549,4053,4241,-188,0,2211324,
2,Valle d'Aosta/Vallée d'Aoste,63794,28,100,-72,138,133,5,0,63727,
3,Lombardia,5114343,2804,11948,-9144,8312,8728,-416,0,5104783,
4,Trentino-Alto Adige,546763,392,730,-338,1216,1178,38,0,546463,
5,Veneto,2487693,1230,2827,-1597,5032,5379,-347,0,2485749,
6,Friuli-Venezia Giulia,618970,276,800,-524,1148,1167,-19,0,618427,
7,Liguria,793339,344,1548,-1204,1193,1117,76,0,792211,
8,Emilia-Romagna,2289917,1181,3717,-2536,4147,3925,222,0,2287603,
9,Toscana,1905892,807,2307,-1500,3172,3495,-323,0,1904069,
10,Umbria,449615,189,551,-362,594,585,9,0,449262,
11,Marche,775879,379,1087,-708,1025,1154,-129,0,775042,
12,Lazio,2974355,1485,2764,-1279,3578,3425,153,0,2973229,
13,Abruzzo,661151,296,821,-525,710,891,-181,0,660445,
14,Molise,152179,70,200,-130,158,200,-42,0,152007,
15,Campania,2924308,1625,2559,-934,3078,3599,-521,0,2922853,
16,Puglia,2026432,982,2067,-1085,1321,1816,-495,0,2024852,
17,Basilicata,280544,123,310,-187,223,263,-40,0,280317,
18,Calabria,964589,527,987,-460,679,1123,-444,0,963685,
19,Sicilia,2499578,1398,2688,-1290,2024,2720,-696,0,2497592,
20,Sardegna,818739,323,853,-530,894,1064,-170,0,818039,
,Femmine,30562141,15498,42452,-26954,42695,46203,-3508,0,30531679,



Informazioni: s = dato stimato
