Bilancio demografico anno 2020 - Maggio (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4296035,2240,4656,-2416,8178,8495,-317,0,4293302,
2,Valle d'Aosta/Vallée d'Aoste,124481,65,122,-57,329,348,-19,0,124405,
3,Lombardia,9992467,5731,8934,-3203,20340,22354,-2014,0,9987250,
4,Trentino-Alto Adige,1077469,713,815,-102,1921,1828,93,0,1077460,
5,Veneto,4869005,2578,4125,-1547,9620,10128,-508,0,4866950,
6,Friuli-Venezia Giulia,1203407,576,1079,-503,2568,2293,275,0,1203179,
7,Liguria,1517977,665,1848,-1183,2488,2461,27,0,1516821,
8,Emilia-Romagna,4454427,2340,4186,-1846,8704,8310,394,0,4452975,
9,Toscana,3681576,1845,3335,-1490,6680,6685,-5,0,3680081,
10,Umbria,868119,422,790,-368,1282,1160,122,0,867873,
11,Marche,1507809,776,1426,-650,2208,2794,-586,0,1506573,
12,Lazio,5746062,3049,4522,-1473,8185,13024,-4839,0,5739750,
13,Abruzzo,1289871,635,1214,-579,2051,2094,-43,0,1289249,
14,Molise,298767,121,319,-198,361,469,-108,0,298461,
15,Campania,5699781,3342,4168,-826,8110,9539,-1429,0,5697526,
16,Puglia,3940951,2091,3185,-1094,3737,4303,-566,0,3939291,
17,Basilicata,551175,296,539,-243,410,644,-234,0,550698,
18,Calabria,1886694,1088,1634,-546,1992,2689,-697,0,1885451,
19,Sicilia,4858215,2867,4200,-1333,5691,6548,-857,0,4856025,
20,Sardegna,1606587,620,1343,-723,2052,2587,-535,0,1605329,
,,Totale,59470875,32060,52440,-20380,96907,108753,-11846,0,59438649,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2087936,1132,2141,-1009,4116,4268,-152,0,2086775,
2,Valle d'Aosta/Vallée d'Aoste,60851,30,65,-35,148,160,-12,0,60804,
3,Lombardia,4894536,2935,4035,-1100,10487,11847,-1360,0,4892076,
4,Trentino-Alto Adige,531333,350,389,-39,933,900,33,0,531327,
5,Veneto,2384913,1372,2011,-639,4732,5051,-319,0,2383955,
6,Friuli-Venezia Giulia,585507,284,511,-227,1225,1181,44,0,585324,
7,Liguria,727114,321,875,-554,1276,1228,48,0,726608,
8,Emilia-Romagna,2169155,1204,2006,-802,4449,4311,138,0,2168491,
9,Toscana,1779125,964,1575,-611,3303,3390,-87,0,1778427,
10,Umbria,418937,214,371,-157,602,560,42,0,418822,
11,Marche,733409,422,667,-245,1104,1434,-330,0,732834,
12,Lazio,2774349,1626,2208,-582,4211,7064,-2853,0,2770914,
13,Abruzzo,629726,333,623,-290,1032,1086,-54,0,629382,
14,Molise,146929,66,172,-106,180,249,-69,0,146754,
15,Campania,2778072,1715,2021,-306,4278,5083,-805,0,2776961,
16,Puglia,1917386,1103,1538,-435,1971,2309,-338,0,1916613,
17,Basilicata,271128,154,264,-110,209,332,-123,0,270895,
18,Calabria,923628,536,822,-286,1057,1448,-391,0,922951,
19,Sicilia,2362111,1497,2036,-539,2970,3530,-560,0,2361012,
20,Sardegna,789177,315,701,-386,1033,1454,-421,0,788370,
,Maschi,28965322,16573,25031,-8458,49316,56885,-7569,0,28949295,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2208099,1108,2515,-1407,4062,4227,-165,0,2206527,
2,Valle d'Aosta/Vallée d'Aoste,63630,35,57,-22,181,188,-7,0,63601,
3,Lombardia,5097931,2796,4899,-2103,9853,10507,-654,0,5095174,
4,Trentino-Alto Adige,546136,363,426,-63,988,928,60,0,546133,
5,Veneto,2484092,1206,2114,-908,4888,5077,-189,0,2482995,
6,Friuli-Venezia Giulia,617900,292,568,-276,1343,1112,231,0,617855,
7,Liguria,790863,344,973,-629,1212,1233,-21,0,790213,
8,Emilia-Romagna,2285272,1136,2180,-1044,4255,3999,256,0,2284484,
9,Toscana,1902451,881,1760,-879,3377,3295,82,0,1901654,
10,Umbria,449182,208,419,-211,680,600,80,0,449051,
11,Marche,774400,354,759,-405,1104,1360,-256,0,773739,
12,Lazio,2971713,1423,2314,-891,3974,5960,-1986,0,2968836,
13,Abruzzo,660145,302,591,-289,1019,1008,11,0,659867,
14,Molise,151838,55,147,-92,181,220,-39,0,151707,
15,Campania,2921709,1627,2147,-520,3832,4456,-624,0,2920565,
16,Puglia,2023565,988,1647,-659,1766,1994,-228,0,2022678,
17,Basilicata,280047,142,275,-133,201,312,-111,0,279803,
18,Calabria,963066,552,812,-260,935,1241,-306,0,962500,
19,Sicilia,2496104,1370,2164,-794,2721,3018,-297,0,2495013,
20,Sardegna,817410,305,642,-337,1019,1133,-114,0,816959,
,Femmine,30505553,15487,27409,-11922,47591,51868,-4277,0,30489354,



Informazioni: s = dato stimato
