Bilancio demografico anno 2020 - Novembre (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4284975,2138,8531,-6393,12849,12946,-97,0,4278485,
2,Valle d'Aosta/Vallée d'Aoste,124288,64,277,-213,390,428,-38,0,124037,
3,Lombardia,9979872,5410,13507,-8097,33729,32645,1084,0,9972859,
4,Trentino-Alto Adige,1078926,699,1371,-672,3761,3332,429,0,1078683,
5,Veneto,4861196,2627,5923,-3296,14970,14913,57,0,4857957,
6,Friuli-Venezia Giulia,1201294,609,1828,-1219,3944,3768,176,0,1200251,
7,Liguria,1513313,686,2813,-2127,4515,4210,305,0,1511491,
8,Emilia-Romagna,4450398,2374,5538,-3164,14292,13133,1159,0,4448393,
9,Toscana,3674354,1653,5184,-3531,11806,11204,602,0,3671425,
10,Umbria,866178,437,1230,-793,2036,1904,132,0,865517,
11,Marche,1503785,719,1911,-1192,3964,3956,8,0,1502601,
12,Lazio,5726290,2872,6517,-3645,12562,12435,127,0,5722772,
13,Abruzzo,1286575,691,1685,-994,3905,3305,600,0,1286181,
14,Molise,297259,116,432,-316,612,645,-33,0,296910,
15,Campania,5687572,3654,6732,-3078,10157,11761,-1604,0,5682890,
16,Puglia,3932519,2177,4709,-2532,6506,6883,-377,0,3929610,
17,Basilicata,548640,266,695,-429,804,962,-158,0,548053,
18,Calabria,1880245,1060,1890,-830,2860,3586,-726,0,1878689,
19,Sicilia,4847184,3046,5717,-2671,9116,9643,-527,0,4843986,
20,Sardegna,1601167,634,1980,-1346,3096,3201,-105,0,1599716,
,,Totale,59346030,31932,78470,-46538,155874,154860,1014,0,59300506,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2083204,1092,4308,-3216,6558,6618,-60,0,2079928,
2,Valle d'Aosta/Vallée d'Aoste,60741,38,139,-101,204,218,-14,0,60626,
3,Lombardia,4889140,2739,6972,-4233,17364,17043,321,0,4885228,
4,Trentino-Alto Adige,532130,357,679,-322,1891,1651,240,0,532048,
5,Veneto,2382095,1350,2901,-1551,7519,7540,-21,0,2380523,
6,Friuli-Venezia Giulia,584507,311,877,-566,1979,1950,29,0,583970,
7,Liguria,725354,363,1366,-1003,2315,2169,146,0,724497,
8,Emilia-Romagna,2167924,1185,2709,-1524,7283,6858,425,0,2166825,
9,Toscana,1776214,811,2602,-1791,6049,5752,297,0,1774720,
10,Umbria,418139,233,620,-387,1053,967,86,0,417838,
11,Marche,731630,394,928,-534,1990,2026,-36,0,731060,
12,Lazio,2764440,1463,3327,-1864,6629,6615,14,0,2762590,
13,Abruzzo,628189,352,865,-513,1987,1687,300,0,627976,
14,Molise,146268,67,208,-141,356,340,16,0,146143,
15,Campania,2771867,1815,3603,-1788,5351,6182,-831,0,2769248,
16,Puglia,1913590,1153,2401,-1248,3485,3762,-277,0,1912065,
17,Basilicata,269866,151,369,-218,436,538,-102,0,269546,
18,Calabria,920273,559,980,-421,1520,1875,-355,0,919497,
19,Sicilia,2356917,1581,2986,-1405,4840,5048,-208,0,2355304,
20,Sardegna,786094,341,1020,-679,1588,1684,-96,0,785319,
,Maschi,28908582,16355,39860,-23505,80397,80523,-126,0,28884951,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2201771,1046,4223,-3177,6291,6328,-37,0,2198557,
2,Valle d'Aosta/Vallée d'Aoste,63547,26,138,-112,186,210,-24,0,63411,
3,Lombardia,5090732,2671,6535,-3864,16365,15602,763,0,5087631,
4,Trentino-Alto Adige,546796,342,692,-350,1870,1681,189,0,546635,
5,Veneto,2479101,1277,3022,-1745,7451,7373,78,0,2477434,
6,Friuli-Venezia Giulia,616787,298,951,-653,1965,1818,147,0,616281,
7,Liguria,787959,323,1447,-1124,2200,2041,159,0,786994,
8,Emilia-Romagna,2282474,1189,2829,-1640,7009,6275,734,0,2281568,
9,Toscana,1898140,842,2582,-1740,5757,5452,305,0,1896705,
10,Umbria,448039,204,610,-406,983,937,46,0,447679,
11,Marche,772155,325,983,-658,1974,1930,44,0,771541,
12,Lazio,2961850,1409,3190,-1781,5933,5820,113,0,2960182,
13,Abruzzo,658386,339,820,-481,1918,1618,300,0,658205,
14,Molise,150991,49,224,-175,256,305,-49,0,150767,
15,Campania,2915705,1839,3129,-1290,4806,5579,-773,0,2913642,
16,Puglia,2018929,1024,2308,-1284,3021,3121,-100,0,2017545,
17,Basilicata,278774,115,326,-211,368,424,-56,0,278507,
18,Calabria,959972,501,910,-409,1340,1711,-371,0,959192,
19,Sicilia,2490267,1465,2731,-1266,4276,4595,-319,0,2488682,
20,Sardegna,815073,293,960,-667,1508,1517,-9,0,814397,
,Femmine,30437448,15577,38610,-23033,75477,74337,1140,0,30415555,



Informazioni: s = dato stimato
