Bilancio demografico anno 2020 - Ottobre (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4287591,2430,5348,-2918,14687,14385,302,0,4284975,
2,Valle d'Aosta/Vallée d'Aoste,124351,62,159,-97,566,532,34,0,124288,
3,Lombardia,9980203,6234,9488,-3254,38635,35712,2923,0,9979872,
4,Trentino-Alto Adige,1078673,816,933,-117,3626,3256,370,0,1078926,
5,Veneto,4862431,2920,4618,-1698,16329,15866,463,0,4861196,
6,Friuli-Venezia Giulia,1201667,651,1294,-643,3972,3702,270,0,1201294,
7,Liguria,1514497,764,2152,-1388,4476,4272,204,0,1513313,
8,Emilia-Romagna,4451279,2693,4690,-1997,15616,14500,1116,0,4450398,
9,Toscana,3676041,1943,4226,-2283,12080,11484,596,0,3674354,
10,Umbria,866560,484,932,-448,2210,2144,66,0,866178,
11,Marche,1504326,838,1563,-725,4306,4122,184,0,1503785,
12,Lazio,5727764,3451,5481,-2030,13438,12882,556,0,5726290,
13,Abruzzo,1287615,739,1330,-591,3163,3612,-449,0,1286575,
14,Molise,297524,165,359,-194,741,812,-71,0,297259,
15,Campania,5690903,4299,5264,-965,11874,14240,-2366,0,5687572,
16,Puglia,3934333,2434,3437,-1003,6706,7517,-811,0,3932519,
17,Basilicata,549228,299,609,-310,867,1145,-278,0,548640,
18,Calabria,1881759,1216,1680,-464,3500,4550,-1050,0,1880245,
19,Sicilia,4849567,3468,4601,-1133,9731,10981,-1250,0,4847184,
20,Sardegna,1602370,763,1697,-934,3458,3727,-269,0,1601167,
,,Totale,59368682,36669,59861,-23192,169981,169441,540,0,59346030,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2084561,1248,2662,-1414,7429,7372,57,0,2083204,
2,Valle d'Aosta/Vallée d'Aoste,60796,25,84,-59,283,279,4,0,60741,
3,Lombardia,4889125,3232,4690,-1458,19824,18351,1473,0,4889140,
4,Trentino-Alto Adige,531992,415,447,-32,1758,1588,170,0,532130,
5,Veneto,2382520,1477,2207,-730,8065,7760,305,0,2382095,
6,Friuli-Venezia Giulia,584579,344,625,-281,2049,1840,209,0,584507,
7,Liguria,725869,391,1040,-649,2310,2176,134,0,725354,
8,Emilia-Romagna,2168186,1433,2198,-765,8005,7502,503,0,2167924,
9,Toscana,1776999,1017,2020,-1003,6232,6014,218,0,1776214,
10,Umbria,418312,256,461,-205,1078,1046,32,0,418139,
11,Marche,731855,437,752,-315,2239,2149,90,0,731630,
12,Lazio,2765055,1755,2678,-923,6966,6658,308,0,2764440,
13,Abruzzo,628701,368,656,-288,1635,1859,-224,0,628189,
14,Molise,146344,92,169,-77,423,422,1,0,146268,
15,Campania,2773480,2272,2725,-453,6252,7412,-1160,0,2771867,
16,Puglia,1914389,1297,1728,-431,3557,3925,-368,0,1913590,
17,Basilicata,270182,159,322,-163,452,605,-153,0,269866,
18,Calabria,921011,603,821,-218,1812,2332,-520,0,920273,
19,Sicilia,2358108,1757,2344,-587,5087,5691,-604,0,2356917,
20,Sardegna,786770,406,889,-483,1695,1888,-193,0,786094,
,Maschi,28918834,18984,29518,-10534,87151,86869,282,0,28908582,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2203030,1182,2686,-1504,7258,7013,245,0,2201771,
2,Valle d'Aosta/Vallée d'Aoste,63555,37,75,-38,283,253,30,0,63547,
3,Lombardia,5091078,3002,4798,-1796,18811,17361,1450,0,5090732,
4,Trentino-Alto Adige,546681,401,486,-85,1868,1668,200,0,546796,
5,Veneto,2479911,1443,2411,-968,8264,8106,158,0,2479101,
6,Friuli-Venezia Giulia,617088,307,669,-362,1923,1862,61,0,616787,
7,Liguria,788628,373,1112,-739,2166,2096,70,0,787959,
8,Emilia-Romagna,2283093,1260,2492,-1232,7611,6998,613,0,2282474,
9,Toscana,1899042,926,2206,-1280,5848,5470,378,0,1898140,
10,Umbria,448248,228,471,-243,1132,1098,34,0,448039,
11,Marche,772471,401,811,-410,2067,1973,94,0,772155,
12,Lazio,2962709,1696,2803,-1107,6472,6224,248,0,2961850,
13,Abruzzo,658914,371,674,-303,1528,1753,-225,0,658386,
14,Molise,151180,73,190,-117,318,390,-72,0,150991,
15,Campania,2917423,2027,2539,-512,5622,6828,-1206,0,2915705,
16,Puglia,2019944,1137,1709,-572,3149,3592,-443,0,2018929,
17,Basilicata,279046,140,287,-147,415,540,-125,0,278774,
18,Calabria,960748,613,859,-246,1688,2218,-530,0,959972,
19,Sicilia,2491459,1711,2257,-546,4644,5290,-646,0,2490267,
20,Sardegna,815600,357,808,-451,1763,1839,-76,0,815073,
,Femmine,30449848,17685,30343,-12658,82830,82572,258,0,30437448,



Informazioni: s = dato stimato
