Bilancio demografico anno 2020 - Settembre (dati provvisori)
Tutte le regioni
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Totale
1,Piemonte,4288196,2469,3990,-1521,14293,13377,916,0,4287591,
2,Valle d'Aosta/Vallée d'Aoste,124346,61,106,-45,466,416,50,0,124351,
3,Lombardia,9978074,6269,7660,-1391,35072,31552,3520,0,9980203,
4,Trentino-Alto Adige,1078152,784,733,51,3267,2797,470,0,1078673,
5,Veneto,4862643,2987,3905,-918,14822,14116,706,0,4862431,
6,Friuli-Venezia Giulia,1201867,710,1067,-357,3237,3080,157,0,1201667,
7,Liguria,1515134,755,1807,-1052,4085,3670,415,0,1514497,
8,Emilia-Romagna,4450946,2701,3954,-1253,14472,12886,1586,0,4451279,
9,Toscana,3676315,1967,3486,-1519,11053,9808,1245,0,3676041,
10,Umbria,866765,478,791,-313,2234,2126,108,0,866560,
11,Marche,1504454,904,1302,-398,3801,3531,270,0,1504326,
12,Lazio,5729458,3443,4544,-1101,12904,13497,-593,0,5727764,
13,Abruzzo,1287691,756,1074,-318,3542,3300,242,0,1287615,
14,Molise,297831,166,295,-129,577,755,-178,0,297524,
15,Campania,5692361,4416,4128,288,11199,12945,-1746,0,5690903,
16,Puglia,3935509,2585,3167,-582,6123,6717,-594,0,3934333,
17,Basilicata,549591,329,455,-126,721,958,-237,0,549228,
18,Calabria,1882681,1323,1524,-201,3277,3998,-721,0,1881759,
19,Sicilia,4850834,3697,3962,-265,9579,10581,-1002,0,4849567,
20,Sardegna,1603189,796,1376,-580,3298,3537,-239,0,1602370,
,,Totale,59376037,37596,49326,-11730,158022,153647,4375,0,59368682,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Maschi
1,Piemonte,2084706,1276,1979,-703,7318,6760,558,0,2084561,
2,Valle d'Aosta/Vallée d'Aoste,60798,38,54,-16,228,214,14,0,60796,
3,Lombardia,4887800,3255,3676,-421,17870,16124,1746,0,4889125,
4,Trentino-Alto Adige,531690,405,335,70,1611,1379,232,0,531992,
5,Veneto,2382342,1522,1816,-294,7453,6981,472,0,2382520,
6,Friuli-Venezia Giulia,584586,380,505,-125,1651,1533,118,0,584579,
7,Liguria,726027,376,832,-456,2137,1839,298,0,725869,
8,Emilia-Romagna,2167993,1359,1876,-517,7300,6590,710,0,2168186,
9,Toscana,1776951,1017,1605,-588,5564,4928,636,0,1776999,
10,Umbria,418373,255,376,-121,1102,1042,60,0,418312,
11,Marche,731891,462,626,-164,1871,1743,128,0,731855,
12,Lazio,2765781,1743,2153,-410,6650,6966,-316,0,2765055,
13,Abruzzo,628699,386,551,-165,1773,1606,167,0,628701,
14,Molise,146484,90,137,-47,317,410,-93,0,146344,
15,Campania,2774247,2254,2099,155,5830,6752,-922,0,2773480,
16,Puglia,1914956,1336,1571,-235,3196,3528,-332,0,1914389,
17,Basilicata,270359,171,237,-66,374,485,-111,0,270182,
18,Calabria,921399,661,757,-96,1717,2009,-292,0,921011,
19,Sicilia,2358665,1924,1928,-4,4913,5466,-553,0,2358108,
20,Sardegna,787251,419,675,-256,1651,1876,-225,0,786770,
,Maschi,28920998,19329,23788,-4459,80526,78231,2295,0,28918834,
Codice regione,Regioni,Popolazione inizio periodo,Nati vivi,Morti,Saldo naturale,Iscritti,Cancellati,Saldo migratorio e per altri motivi,Unità in più/meno dovute a variazioni territoriali,Popolazione fine periodo,Informazioni
,,Femmine
1,Piemonte,2203490,1193,2011,-818,6975,6617,358,0,2203030,
2,Valle d'Aosta/Vallée d'Aoste,63548,23,52,-29,238,202,36,0,63555,
3,Lombardia,5090274,3014,3984,-970,17202,15428,1774,0,5091078,
4,Trentino-Alto Adige,546462,379,398,-19,1656,1418,238,0,546681,
5,Veneto,2480301,1465,2089,-624,7369,7135,234,0,2479911,
6,Friuli-Venezia Giulia,617281,330,562,-232,1586,1547,39,0,617088,
7,Liguria,789107,379,975,-596,1948,1831,117,0,788628,
8,Emilia-Romagna,2282953,1342,2078,-736,7172,6296,876,0,2283093,
9,Toscana,1899364,950,1881,-931,5489,4880,609,0,1899042,
10,Umbria,448392,223,415,-192,1132,1084,48,0,448248,
11,Marche,772563,442,676,-234,1930,1788,142,0,772471,
12,Lazio,2963677,1700,2391,-691,6254,6531,-277,0,2962709,
13,Abruzzo,658992,370,523,-153,1769,1694,75,0,658914,
14,Molise,151347,76,158,-82,260,345,-85,0,151180,
15,Campania,2918114,2162,2029,133,5369,6193,-824,0,2917423,
16,Puglia,2020553,1249,1596,-347,2927,3189,-262,0,2019944,
17,Basilicata,279232,158,218,-60,347,473,-126,0,279046,
18,Calabria,961282,662,767,-105,1560,1989,-429,0,960748,
19,Sicilia,2492169,1773,2034,-261,4666,5115,-449,0,2491459,
20,Sardegna,815938,377,701,-324,1647,1661,-14,0,815600,
,Femmine,30455039,18267,25538,-7271,77496,75416,2080,0,30449848,



Informazioni: s = dato stimato
